GAME_ID,TEAM_ID,PLAYER_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,MIN
22400014,1610612751,1627827,4,9,0.444,4,6,0.667,3,4,0.75,2,2,4,3,0,1,0,1,15,19,32.3
22400014,1610612751,1630560,16,22,0.727,7,10,0.7,4,6,0.667,0,2,2,3,1,1,4,2,43,-1,38.716666667
22400014,1610612751,203471,4,17,0.235,2,10,0.2,4,4,1,0,3,3,8,2,0,1,2,14,10,33.566666667
22400014,1610612751,1630533,4,10,0.4,1,4,0.25,0,0,0,1,7,8,1,1,0,1,5,9,4,28.2
22400014,1610612751,1641730,1,3,0.333,1,3,0.333,2,2,1,1,0,1,2,0,0,2,3,5,-17,12.883333333
22400014,1610612751,1630553,2,4,0.5,1,3,0.333,2,2,1,1,2,3,1,1,0,1,2,7,-6,11.733333333
22400014,1610612751,1629003,1,3,0.333,0,1,0,0,0,0,2,0,2,0,0,0,0,2,2,-12,5.5
22400014,1610612751,1630592,2,6,0.333,2,4,0.5,0,0,0,0,2,2,1,0,0,0,3,6,-11,16.116666667
22400014,1610612751,1631213,,,,,,,,,,,,,,,,,,,,0
22400014,1610612751,1642385,,,,,,,,,,,,,,,,,,,,0
22400014,1610612752,1628384,10,17,0.588,1,8,0.125,4,5,0.8,1,7,8,1,2,0,3,6,25,10,38.75
22400014,1610612752,1628404,3,7,0.429,2,5,0.4,6,6,1,0,9,9,9,2,0,2,3,14,2,40.25
22400014,1610612752,1630579,2,3,0.667,0,0,0,0,0,0,3,4,7,1,0,0,0,1,4,6,17.983333333
22400014,1610612752,1628969,9,17,0.529,4,7,0.571,0,0,0,2,3,5,4,1,1,1,0,22,7,41.166666667
22400014,1610612752,1628973,12,20,0.6,3,8,0.375,10,12,0.833,0,3,3,7,0,0,3,4,37,-1,34.116666667
22400014,1610612752,1626166,4,10,0.4,2,6,0.333,0,1,0,0,3,3,0,1,0,1,3,10,-5,19.183333333
22400014,1610612752,1630574,3,5,0.6,0,0,0,1,2,0.5,2,2,4,3,0,4,3,3,7,-4,30.016666667
22400014,1610612752,1642278,0,3,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,-5,6.833333333
22400014,1610612752,1642359,1,1,1,1,1,1,2,2,1,0,4,4,0,1,1,0,0,5,0,11.7
22400014,1610612752,1630540,,,,,,,,,,,,,,,,,,,,0
22400014,1610612752,1630346,,,,,,,,,,,,,,,,,,,,0
22400014,1610612752,1631210,,,,,,,,,,,,,,,,,,,,0
22400014,1610612752,1626157,,,,,,,,,,,,,,,,,,,,0
22400439,1610612748,1629312,6,9,0.667,3,6,0.5,0,0,0,4,4,8,2,2,1,3,1,15,10,37.55
22400439,1610612748,201567,1,7,0.143,0,1,0,3,4,0.75,3,3,6,1,0,0,1,1,5,-13,14
22400439,1610612748,1628389,4,12,0.333,0,1,0,4,6,0.667,2,8,10,1,3,0,2,5,12,-1,34.283333333
22400439,1610612748,1629639,10,17,0.588,3,7,0.429,4,7,0.571,0,6,6,9,0,0,3,2,27,13,36.95
22400439,1610612748,1626179,6,19,0.316,0,8,0,2,2,1,1,4,5,0,1,1,2,1,14,-3,38.183333333
22400439,1610612748,1631170,1,3,0.333,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,-7,16.416666667
22400439,1610612748,1631107,5,9,0.556,3,5,0.6,5,5,1,2,5,7,6,0,0,0,1,18,18,30.966666667
22400439,1610612748,1642276,3,3,1,0,0,0,1,3,0.333,1,6,7,2,0,1,1,2,7,5,13.716666667
22400439,1610612748,202692,1,5,0.2,1,5,0.2,1,1,1,0,0,0,0,0,0,2,1,4,-2,17.933333333
