GAME_ID,TEAM_ID,PLAYER_ID,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_ASSIST_POINTS,LOOSEBALLS_RECOVERED_OFFENSIVE,LOOSEBALLS_RECOVERED_DEFENSIVE,LOOSEBALLS_RECOVERED_TOTAL,OFFENSIVE_BOXOUTS,DEFENSIVE_BOXOUTS,BOXOUT_PLAYER_TEAM_REBOUNDS,BOXOUT_PLAYER_REBOUNDS,BOXOUTS,MIN
42400156,1610612744,1630311,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2.4
42400156,1610612744,1631218,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2.4
22400451,1610612746,1626181,15,4,2,2,3,0,0,0,0,0,0,0,2,2,1,2,26.333333333
22400451,1610612746,1627884,6,3,2,1,1,0,1,3,0,0,0,0,1,1,0,1,21.133333333
22400451,1610612746,1627826,5,9,4,5,1,0,1,2,0,1,1,2,2,4,2,4,22.166666667
22400451,1610612746,1627739,7,6,2,4,3,0,1,3,0,0,0,0,1,1,0,1,22.6
22400451,1610612746,201935,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25.466666667
22400451,1610612746,1629599,14,2,1,1,1,0,1,3,1,0,1,0,1,1,1,1,28.2
22400451,1610612746,201587,0,2,0,2,0,0,1,2,0,0,0,0,1,1,0,1,12.716666667
22400451,1610612746,1629645,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13.4
22400451,1610612746,1628964,2,3,2,1,0,0,0,0,0,0,0,1,0,1,1,1,7.166666667
22400451,1610612746,1630539,4,4,4,0,3,0,1,2,0,0,0,0,0,0,0,0,17.333333333
22400451,1610612746,1630538,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.333333333
22400451,1610612746,1641757,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,14.15
22400451,1610612746,1641738,5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,12
22400451,1610612759,1631110,4,4,1,3,1,0,1,2,0,0,0,0,1,1,1,1,15.216666667
22400451,1610612759,203084,11,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,24.75
22400451,1610612759,1641705,27,9,6,3,4,0,2,5,1,1,2,0,0,0,0,0,25.683333333
22400451,1610612759,1630170,8,3,1,2,3,0,0,0,0,1,1,0,1,1,1,1,26.4
22400451,1610612759,101108,7,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,20.15
22400451,1610612759,1628380,7,8,8,0,2,0,6,13,1,0,1,2,2,4,1,4,16.733333333
22400451,1610612759,1629640,17,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,19
22400451,1610612759,1642264,15,6,3,3,3,0,0,0,1,1,2,0,1,1,1,1,23.166666667
22400451,1610612759,1630577,9,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,16.016666667
22400451,1610612759,1630200,2,1,1,0,0,0,0,0,2,0,2,0,1,1,1,1,17.933333333
22400451,1610612759,1631104,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8.55
22400451,1610612759,1630572,4,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,7.866666667
22400451,1610612759,1631103,5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,7.366666667
22400451,1610612759,1631321,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.583333333
22400451,1610612759,1629646,2,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,5.583333333
22400789,1610612738,1627759,20,4,2,2,0,0,1,2,1,0,1,0,0,0,0,0,26.933333333
22400789,1610612738,1628369,15,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,34.533333333
22400789,1610612738,204001,17,14,7,7,2,0,2,4,0,0,0,0,0,0,0,0,25.366666667
22400789,1610612738,1628401,16,4,2,2,0,0,2,5,0,0,0,0,0,0,0,0,25.95
22400789,1610612738,201950,8,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,19.733333333
22400789,1610612738,201143,11,3,2,1,0,0,2,6,1,0,1,0,0,0,0,0,18.283333333
22400789,1610612738,1630202,28,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31.383333333
22400789,1610612738,1630573,3,4,2,2,1,0,2,6,0,0,0,0,3,3,0,3,21.4
