GAME_ID,TEAM_ID,PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,MIN
22400439,1610612748,1642352,,,,,,,,,,,,,,,,0
22400439,1610612748,1641796,,,,,,,,,,,,,,,,0
22400439,1610612748,1629130,,,,,,,,,,,,,,,,0
22400439,1610612748,1641815,,,,,,,,,,,,,,,,0
22400439,1610612745,1628415,0.4,0.6,0.273,0,0.682,0.227,0.045,0.136,0.273,0.667,0.333,0.8,0.2,0.75,0.25,39.666666667
22400439,1610612745,1631095,0.375,0.625,0,0,0.857,0,0.143,0.429,0,0,0,1,0,1,0,26.283333333
22400439,1610612745,1630578,0.929,0.071,0.889,0,0,0.222,0.111,0.111,0.889,0.5,0.5,0,0,0.5,0.5,34.783333333
22400439,1610612745,1630224,0.6,0.4,0.526,0.211,0.158,0.263,0.316,0,0.316,0.2,0.8,0,1,0.167,0.833,34.283333333
22400439,1610612745,1627832,0.412,0.588,0.25,0.125,0.75,0.188,0,0.125,0.125,1,0,1,0,1,0,38.233333333
22400439,1610612745,1641708,0.75,0.25,0.8,0,0,0,0.2,0,0.8,0.5,0.5,0,0,0.5,0.5,31.75
22400439,1610612745,203500,1,0,1,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0.5,12.483333333
22400439,1610612745,1641715,0.714,0.286,0.571,0,0.429,0.286,0,0.286,0.571,1,0,1,0,1,0,11.533333333
22400439,1610612745,1628988,0.75,0.25,1,0,0,0,0,0,1,0,1,0,0,0,1,10.983333333
22400439,1610612745,1631106,,,,,,,,,,,,,,,,0
22400439,1610612745,201145,,,,,,,,,,,,,,,,0
22400439,1610612745,1629111,,,,,,,,,,,,,,,,0
22400439,1610612745,1642263,,,,,,,,,,,,,,,,0
22400439,1610612745,1630256,,,,,,,,,,,,,,,,0
22400385,1610612746,1626181,0.5,0.5,0.357,0,0.321,0.107,0.321,0.071,0.357,0.4,0.6,1,0,0.625,0.375,41.583333333
22400385,1610612746,1627884,0.333,0.667,1,0,0,0.5,0,0,1,0.5,0.5,0,0,0.5,0.5,17.433333333
22400385,1610612746,1627826,1,0,0.923,0,0,0,0.077,0.154,0.923,0.667,0.333,0,0,0.667,0.333,33.866666667
22400385,1610612746,1627739,0.143,0.857,0,0,1,0,0,0.333,0,0,0,1,0,1,0,33.5
22400385,1610612746,201935,0.5,0.5,0.421,0.105,0.316,0.263,0.263,0.316,0.316,0.25,0.75,1,0,0.5,0.5,36.883333333
22400385,1610612746,1629599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6
22400385,1610612746,1629645,0.667,0.333,0.632,0.105,0.316,0,0.053,0,0.526,0.167,0.833,0.5,0.5,0.25,0.75,27.383333333
22400385,1610612746,201587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.866666667
22400385,1610612746,1628964,0.6,0.4,1,0,0,0,0,0,1,0,1,0,0,0,1,10.216666667
22400385,1610612746,1641757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333
22400385,1610612746,1630539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333
22400385,1610612746,1630538,,,,,,,,,,,,,,,,0
22400385,1610612742,202691,0.333,0.667,0.25,0.125,0.75,0,0,0.188,0.125,0.5,0.5,1,0,0.833,0.167,23.616666667
22400385,1610612742,1629023,0.545,0.455,0.4,0,0.6,0.3,0,0.5,0.4,0.5,0.5,1,0,0.75,0.25,36.766666667
22400385,1610612742,1641726,1,0,0.909,0,0,0,0.091,0,0.909,0.8,0.2,0,0,0.8,0.2,28.45
22400385,1610612742,203915,0.538,0.462,0.4,0,0.2,0,0.4,0.133,0.4,0,1,1,0,0.25,0.75,29
22400385,1610612742,202681,0.64,0.36,0.533,0.267,0.4,0,0.067,0,0.267,0.25,0.75,1,0,0.5,0.5,37.716666667
