GAME_ID,TEAM_ID,PLAYER_ID,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,MIN
22400789,1610612738,204001,3.92,1.77,2,8,10,31,0,0,13,1,2,4,0.5,3,7,0.429,0.455,7,9,0.778,25.366666667
22400789,1610612738,1628401,3.95,1.82,0,13,13,61,0,0,47,2,1,2,0.5,4,8,0.5,0.5,0,3,0,25.95
22400789,1610612738,201950,4.15,1.45,1,4,5,25,0,1,18,2,1,3,0.333,2,3,0.667,0.5,1,1,1,19.733333333
22400789,1610612738,201143,4.01,1.28,1,4,5,24,0,0,17,1,1,2,0.5,3,5,0.6,0.57,2,4,0.5,18.283333333
22400789,1610612738,1630202,4.14,2.29,1,3,4,64,0,0,42,4,2,2,1,8,16,0.5,0.556,2,2,1,31.383333333
22400789,1610612738,1630573,4.31,1.62,2,3,5,22,0,1,15,2,0,1,0,1,5,0.2,0.167,0,0,0,21.4
22400789,1610612738,1628436,4.39,1.32,4,5,9,19,1,0,15,4,2,3,0.667,1,1,1,0.75,2,6,0.333,17.4
22400789,1610612738,1628470,4.36,0.68,2,2,4,8,0,0,8,1,0,0,0,0,0,0,0,0,1,0,8.766666667
22400789,1610612738,1641775,3.73,0.32,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.833333333
22400789,1610612738,1629674,3.81,0.32,2,3,5,7,1,0,6,0,0,1,0,0,0,0,0,3,4,0.75,4.833333333
22400789,1610612738,1631248,3.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400789,1610612755,1626162,4.29,2.65,3,4,7,61,0,0,43,0,5,9,0.556,1,5,0.2,0.428,5,5,1,34.85
22400789,1610612755,202331,3.99,2.06,0,5,5,56,0,0,39,2,0,0,0,7,14,0.5,0.5,0,3,0,29.266666667
22400789,1610612755,203954,3.77,1.8,2,6,8,42,0,0,27,4,1,4,0.25,2,5,0.4,0.333,1,1,1,27.033333333
22400789,1610612755,1629656,4.22,2.47,2,9,11,51,0,1,36,3,1,5,0.2,4,7,0.571,0.416,3,3,1,33.1
22400789,1610612755,1630178,4.08,2.46,0,6,6,76,1,0,64,7,4,4,1,2,6,0.333,0.599,2,2,1,34.35
22400789,1610612755,1627824,4.03,1.74,7,9,15,31,1,0,24,0,1,4,0.25,1,2,0.5,0.333,0,3,0,24.633333333
22400789,1610612755,1641741,4.11,1.57,5,0,5,27,0,0,16,2,1,3,0.333,3,7,0.429,0.4,2,2,1,21.533333333
22400789,1610612755,203083,3.95,0.89,4,4,8,18,0,0,12,1,3,5,0.6,1,1,1,0.667,0,1,0,12.883333333
22400789,1610612755,1630215,4.4,0.27,0,1,1,11,0,0,7,0,0,0,0,0,4,0,0,1,1,1,3.45
22400789,1610612755,1631223,4.19,0.99,1,7,8,22,1,0,14,2,1,2,0.5,1,5,0.2,0.285,0,1,0,13.483333333
22400789,1610612755,1630288,3.55,0.3,1,1,2,11,0,0,10,2,1,1,1,0,0,0,1,0,0,0,4.833333333
22400789,1610612755,1641737,3.41,0.04,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400014,1610612751,1627732,4.12,1.82,2,8,10,55,3,0,48,5,1,3,0.333,1,2,0.5,0.4,1,1,1,24.716666667
22400014,1610612751,1629661,4.27,2.79,2,6,8,45,0,0,30,3,2,3,0.667,1,7,0.143,0.299,4,4,1,36.266666667
22400014,1610612751,1627827,4.38,2.56,6,5,11,50,0,0,38,3,0,3,0,4,6,0.667,0.444,4,8,0.5,32.3
