SEASON,GAME_DATE,GAME_ID,GAME_CODE,HOME_TEAM_ID,HOME_TEAM_SCORE,AWAY_TEAM_ID,AWAY_TEAM_SCORE,POINTS_LEADER_ID,POINTS_LEADER_POINTS
2024-25,2024-11-13,22400227,20241113/PHXSAC,1610612758,127,1610612756,104,1628368,29
2024-25,2024-11-14,22400228,20241114/DALUTA,1610612762,115,1610612742,113,1629029,37
2024-25,2024-11-15,22400009,20241115/MIAIND,1610612754,111,1610612748,124,1628389,30
2024-25,2024-11-15,22400010,20241115/PHIORL,1610612753,98,1610612755,86,1630532,31
2024-25,2024-11-15,22400011,20241115/DETTOR,1610612761,95,1610612765,99,1627751,25
2024-25,2024-11-15,22400012,20241115/WASATL,1610612737,129,1610612764,117,1630700,25
2024-25,2024-11-15,22400013,20241115/CHICLE,1610612739,144,1610612741,126,1628378,37
2024-25,2024-11-15,22400014,20241115/BKNNYK,1610612752,124,1610612751,122,1630560,43
2024-25,2024-11-15,22400015,20241115/LALSAS,1610612759,115,1610612747,120,203076,40
2024-25,2024-11-15,22400016,20241115/LACHOU,1610612745,125,1610612746,104,1631095,28
2024-25,2024-11-15,22400017,20241115/DENNOP,1610612740,101,1610612743,94,1627742,29
2024-25,2024-11-15,22400018,20241115/PHXOKC,1610612760,99,1610612756,83,1628983,28
2024-25,2024-11-15,22400019,20241115/MEMGSW,1610612744,123,1610612763,118,1628991,32
2024-25,2024-11-15,22400020,20241115/MINSAC,1610612758,126,1610612750,130,1628368,60
2024-25,2024-11-16,22400229,20241116/MILCHA,1610612766,115,1610612749,114,1630163,26
2024-25,2024-11-16,22400230,20241116/TORBOS,1610612738,126,1610612761,123,1627751,35
2024-25,2024-11-16,22400231,20241116/LALNOP,1610612740,99,1610612747,104,1627742,32
2024-25,2024-11-16,22400232,20241116/SASDAL,1610612742,110,1610612759,93,202681,22
2024-25,2024-11-16,22400233,20241116/UTASAC,1610612758,121,1610612762,117,1628368,49
2024-25,2024-11-17,22400234,20241117/PHXMIN,1610612750,120,1610612756,117,1626164,44
2024-25,2024-11-17,22400235,20241117/MIAIND,1610612754,119,1610612748,110,1626167,34
2024-25,2024-11-17,22400236,20241117/CHACLE,1610612739,128,1610612766,114,1630163,31
2024-25,2024-11-17,22400237,20241117/DETWAS,1610612764,104,1610612765,124,1631093,28
2024-25,2024-11-17,22400238,20241117/DENMEM,1610612763,105,1610612743,90,1628991,20
2024-25,2024-11-17,22400239,20241117/ATLPOR,1610612757,114,1610612737,110,1631101,32
2024-25,2024-11-17,22400240,20241117/BKNNYK,1610612752,114,1610612751,104,1626157,26
2024-25,2024-11-17,22400241,20241117/HOUCHI,1610612741,107,1610612745,143,1627832,28
2024-25,2024-11-17,22400242,20241117/DALOKC,1610612760,119,1610612742,121,1628983,36
2024-25,2024-11-17,22400243,20241117/UTALAC,1610612746,116,1610612762,105,1627826,22
2024-25,2024-11-18,22400244,20241118/CHIDET,1610612765,112,1610612741,122,202696,29
2024-25,2024-11-18,22400245,20241118/PHIMIA,1610612748,106,1610612755,89,202710,30
2024-25,2024-11-18,22400246,20241118/WASNYK,1610612752,134,1610612764,106,1628973,26
2024-25,2024-11-18,22400247,20241118/INDTOR,1610612761,130,1610612754,119,1629628,39
2024-25,2024-11-18,22400248,20241118/HOUMIL,1610612749,101,1610612745,100,201572,27
2024-25,2024-11-18,22400249,20241118/ORLPHX,1610612756,99,1610612753,109,1630532,32
2024-25,2024-11-18,22400250,20241118/ATLSAC,1610612758,108,1610612737,109,1631165,33
2024-25,2024-11-18,22400251,20241118/GSWLAC,1610612746,102,1610612744,99,201939,26
2024-25,2024-11-19,22400021,20241119/CLEBOS,1610612738,120,1610612739,117,1628378,35
2024-25,2024-11-19,22400022,20241119/CHABKN,1610612751,116,1610612766,115,1629661,34
2024-25,2024-11-19,22400023,20241119/DENMEM,1610612763,110,1610612743,122,1630583,28
2024-25,2024-11-19,22400024,20241119/NOPDAL,1610612742,132,1610612740,91,1629029,26
2024-25,2024-11-19,22400025,20241119/OKCSAS,1610612759,110,1610612760,104,1628983,32
2024-25,2024-11-19,22400026,20241119/UTALAL,1610612747,124,1610612762,118,1642261,37
2024-25,2024-11-20,22400252,20241120/NOPCLE,1610612739,128,1610612740,100,1641810,34
2024-25,2024-11-20,22400253,20241120/CHIMIL,1610612749,122,1610612741,106,203507,41
2024-25,2024-11-20,22400254,20241120/INDHOU,1610612745,130,1610612754,113,1630578,31
2024-25,2024-11-20,22400255,20241120/PHIMEM,1610612763,117,1610612755,111,203954,35
2024-25,2024-11-20,22400256,20241120/POROKC,1610612760,109,1610612757,99,1631114,30
2024-25,2024-11-20,22400257,20241120/NYKPHX,1610612756,122,1610612752,138,1628973,36
