gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,GAME_ID
42400156,1610612744,Golden State,Warriors,GSW,warriors,201939,Stephen,Curry,S. Curry,stephen-curry,G,,30.0,41:57,29,3,1,2,5,0,0,0,2,0,2,0,1,1,1,1,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1641764,Brandin,Podziemski,B. Podziemski,brandin-podziemski,,,2.0,28:45,10,2,0,2,3,0,1,3,0,0,0,0,1,1,1,1,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1642366,Quinten,Post,Q. Post,quinten-post,,,21.0,17:48,5,5,3,2,1,0,1,3,0,0,0,1,2,3,1,3,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1630541,Moses,Moody,M. Moody,moses-moody,,,4.0,22:07,13,7,3,4,0,0,0,0,0,1,1,1,1,2,1,2,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1630296,Braxton,Key,B. Key,braxton-key,,,12.0,2:26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1630611,Gui,Santos,G. Santos,gui-santos,,,15.0,2:24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1630311,Pat,Spencer,P. Spencer,pat-spencer,,,61.0,2:24,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1631218,Trayce,Jackson-Davis,T. Jackson-Davis,trayce-jackson-davis,,,32.0,2:24,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,42400156
22400451,1610612746,LA,Clippers,LAC,clippers,1626181,Norman,Powell,N. Powell,norman-powell,F,,24.0,26:20,15,4,2,2,3,0,0,0,0,0,0,0,2,2,1,2,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,F,,55.0,21:08,6,3,2,1,1,0,1,3,0,0,0,0,1,1,0,1,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1627826,Ivica,Zubac,I. Zubac,ivica-zubac,C,,40.0,22:10,5,9,4,5,1,0,1,2,0,1,1,2,2,4,2,4,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1627739,Kris,Dunn,K. Dunn,kris-dunn,G,,8.0,22:36,7,6,2,4,3,0,1,3,0,0,0,0,1,1,0,1,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,201935,James,Harden,J. Harden,james-harden,G,,1.0,25:28,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1629599,Amir,Coffey,A. Coffey,amir-coffey,,,7.0,28:12,14,2,1,1,1,0,1,3,1,0,1,0,1,1,1,1,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,201587,Nicolas,Batum,N. Batum,nicolas-batum,,,33.0,12:43,0,2,0,2,0,0,1,2,0,0,0,0,1,1,0,1,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1629645,Kevin,Porter Jr.,K. Porter Jr.,kevin-porter-jr,,,77.0,13:24,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1628964,Mo,Bamba,M. Bamba,mo-bamba,,,4.0,7:10,2,3,2,1,0,0,0,0,0,0,0,1,0,1,1,1,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1630539,Kai,Jones,K. Jones,kai-jones,,,23.0,17:20,4,4,4,0,3,0,1,2,0,0,0,0,0,0,0,0,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1630538,Bones,Hyland,B. Hyland,bones-hyland,,,5.0,17:20,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1641757,Jordan,Miller,J. Miller,jordan-miller,,,11.0,14:09,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612746,LA,Clippers,LAC,clippers,1641738,Kobe,Brown,K. Brown,kobe-brown,,,21.0,12:00,5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,F,,10.0,15:13,4,4,1,3,1,0,1,2,0,0,0,0,1,1,1,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40.0,24:45,11,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1641705,Victor,Wembanyama,V. Wembanyama,victor-wembanyama,C,,1.0,25:41,27,9,6,3,4,0,2,5,1,1,2,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1630170,Devin,Vassell,D. Vassell,devin-vassell,G,,24.0,26:24,8,3,1,2,3,0,0,0,0,1,1,0,1,1,1,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,101108,Chris,Paul,C. Paul,chris-paul,G,,3.0,20:09,7,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1628380,Zach,Collins,Z. Collins,zach-collins,,,23.0,16:44,7,8,8,0,2,0,6,13,1,0,1,2,2,4,1,4,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1629640,Keldon,Johnson,K. Johnson,keldon-johnson,,,0.0,19:00,17,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1642264,Stephon,Castle,S. Castle,stephon-castle,,,5.0,23:10,15,6,3,3,3,0,0,0,1,1,2,0,1,1,1,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1630577,Julian,Champagnie,J. Champagnie,julian-champagnie,,,30.0,16:01,9,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1630200,Tre,Jones,T. Jones,tre-jones,,,33.0,17:56,2,1,1,0,0,0,0,0,2,0,2,0,1,1,1,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1631104,Blake,Wesley,B. Wesley,blake-wesley,,,14.0,8:33,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1630572,Sandro,Mamukelashvili,S. Mamukelashvili,sandro-mamukelashvili,,,54.0,7:52,4,3,2,1,0,0,1,2,0,0,0,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1631103,Malaki,Branham,M. Branham,malaki-branham,,,22.0,7:22,5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1631321,Sidy,Cissoko,S. Cissoko,sidy-cissoko,,,25.0,5:35,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22400451
22400451,1610612759,San Antonio,Spurs,SAS,spurs,1629646,Charles,Bassey,C. Bassey,charles-bassey,,,28.0,5:35,2,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,22400451
