GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022401222,1610612766,CHA,Charlotte,1630208,Nick Richards,Nick,,,15.000000:14,0.411,0.538,0.36,0.0,0.0,1.0,0.75,0.5,0.364,0.385,0.0,0.375,0.25,0.333,1.0,0.4,0.571,0.576
0022401222,1610612766,CHA,Charlotte,1628998,Cody Martin,Cody,,,28.000000:59,0.116,0.167,0.146,0.4,0.238,0.0,0.0,0.143,0.211,0.192,0.118,0.067,0.286,0.25,0.0,0.263,0.0,0.164
0022401222,1610612766,CHA,Charlotte,1642275,Tidjane Salaün,Tidjane,,,18.000000:16,0.092,0.0,0.067,0.0,0.154,0.0,0.2,0.0,0.182,0.143,0.111,0.111,0.0,0.333,0.5,0.2,0.167,0.0
0022401222,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,15.000000:42,0.079,0.125,0.071,0.0,0.0,0.0,0.0,0.333,0.125,0.214,0.0,0.125,0.2,0.0,0.0,0.231,0.25,0.103
0022401222,1610612766,CHA,Charlotte,1631209,Isaiah Wong,Isaiah,,,13.000000:33,0.173,0.25,0.182,0.25,0.091,0.0,0.0,0.667,0.0,0.2,0.0,0.167,0.0,0.0,0.0,0.25,0.5,0.241
0022401222,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,201959,Taj Gibson,Taj,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400010,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,35.000000:35,0.252,0.2,0.278,0.3,0.333,0.125,0.176,0.167,0.167,0.167,0.385,0.214,0.571,0.0,0.25,0.125,0.125,0.197
0022400010,1610612755,PHI,Philadelphia,1628997,Caleb Martin,Caleb,F,,33.000000:26,0.097,0.05,0.057,0.1,0.037,0.0,0.0,0.167,0.235,0.217,0.077,0.286,0.0,0.0,0.0,0.286,0.083,0.048
0022400010,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,32.000000:44,0.372,0.25,0.306,0.0,0.217,0.833,0.833,0.333,0.412,0.4,0.154,0.462,0.111,0.5,0.25,0.118,0.5,0.345
0022400010,1610612755,PHI,Philadelphia,1642272,Jared McCain,Jared,G,,31.000000:21,0.283,0.435,0.347,0.625,0.417,0.286,0.286,0.2,0.0,0.04,0.286,0.0,0.0,0.0,0.333,0.375,0.235,0.426
0022400010,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,G,,28.000000:28,0.082,0.133,0.109,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.375,0.0,0.25,0.0,0.125,0.087
0022400010,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,,,25.000000:32,0.107,0.133,0.118,0.25,0.167,0.0,0.0,0.5,0.214,0.25,0.0,0.111,0.25,0.0,0.0,0.286,0.167,0.122
0022400010,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,24.000000:25,0.089,0.133,0.125,0.0,0.083,0.0,0.0,0.0,0.133,0.125,0.111,0.0,0.0,0.5,0.0,0.25,0.1,0.095
0022400010,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,5.000000:08,0.089,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.333,0.125
0022400010,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,15.000000:53,0.171,0.111,0.19,0.0,0.4,0.0,0.0,0.0,0.167,0.167,0.167,0.167,1.0,0.5,0.0,0.091,0.167,0.087
